,userId,productId,rating
41672,338,31753,3
196787,3564,42916,4
240273,5402,99024,1
51939,435,37890,4
32703,272,1181,3
86580,998,7930,5
268640,6568,38308,2
177780,2936,85397,4
244574,5625,63537,2
213994,4143,6618,5
137335,2051,71018,5
75904,801,8185,5
241568,5481,6723,2
60419,571,868,5
224631,4694,91441,5
185737,3123,4329,4
44889,356,33959,2
152307,2446,79244,5
44651,356,33780,4
275028,6918,27229,3
117482,1546,67708,5
106505,1321,63953,5
212415,4054,632,5
6972,46,6298,5
168613,2800,76930,5
192290,3364,88801,1
109122,1378,17182,4
204138,3851,91505,2
266323,6485,44163,5
53247,452,38571,3
201461,3787,697,5
23083,229,18541,5
36861,304,28427,5
10512,74,9100,1
179992,2954,11865,5
158857,2591,81213,5
191738,3355,33992,4
151350,2430,42793,5
276803,7019,44745,4
280932,7210,26386,5
116892,1527,67481,4
59455,551,42016,4
158789,2587,81183,4
23545,231,18914,5
23616,231,11555,1
280442,7189,58126,5
265601,6459,58895,4
93307,1095,58336,3
28324,255,22549,5
36442,299,28182,4
226090,4739,74118,4
9173,64,5657,5
119105,1589,5034,5
193867,3418,42870,4
62224,581,27699,4
48902,400,36422,4
158222,2574,10045,1
126751,1768,15371,5
243507,5565,99469,5
96781,1120,59944,4
128828,1823,7180,4
252117,5963,100962,5
23830,232,19130,5
228075,4801,69800,3
243396,5563,25244,4
54111,470,39093,4
199136,3695,90512,5
226623,4755,92338,5
246807,5690,30806,4
69506,720,47349,4
218133,4367,17390,5
86366,992,52595,5
281254,7225,31104,2
224967,4703,69424,5
268987,6581,26343,4
31230,260,24843,3
204166,3851,91510,1
35403,289,2442,5
217238,4332,43537,5
162610,2696,2741,1
4914,28,4530,4
44508,355,6400,5
265118,6440,27593,5
208900,3944,17808,5
68387,712,46584,5
54157,470,12379,4
19105,187,9504,4
56398,499,5077,4
84051,951,8338,4
224973,4703,96125,3
79160,882,11159,3
117308,1541,2118,4
149864,2405,24784,2
39553,330,16814,4
128040,1806,38500,4
21293,202,17266,5
239079,5342,41047,5
87543,1012,4656,2
233011,5014,42824,3
176035,2917,11780,5
111500,1426,65744,5
195766,3515,12944,5
52428,438,38159,4
185800,3128,87327,4
124967,1731,28555,4
163584,2713,9976,4
79617,896,27155,4
174407,2889,28715,5
37391,307,1446,4
96185,1120,4071,2
157313,2562,24770,5
8425,64,7466,3
190177,3284,88374,5
165060,2745,490,5
92378,1086,58053,4
109015,1377,64840,4
97564,1134,60366,5
10829,77,9337,5
219377,4414,82027,5
181150,2998,14292,4
204260,3853,76524,3
92995,1095,58251,3
185361,3108,1228,4
269795,6633,78847,5
96782,1120,59945,5
213588,4127,1340,5
208859,3944,92281,4
40323,330,30841,5
182276,3027,86443,5
185620,3119,45363,4
13958,116,11807,5
260872,6296,26283,4
89471,1034,56706,4
35799,291,17189,4
190266,3291,2126,4
228672,4814,96815,4
56705,507,22198,3
22425,221,18076,5
63007,592,43932,1
139791,2125,37358,4
149160,2388,78175,1
163098,2707,45475,5
81705,914,1886,5
181993,3020,86351,5
88596,1021,56279,4
144638,2275,19316,5
173037,2876,83593,4
13172,108,11151,5
166356,2771,11391,1
5678,33,5171,5
152760,2450,79400,5
19024,186,15638,1
30611,258,24406,3
222679,4582,94486,4
198976,3691,90458,2
33883,274,1340,4
50761,418,7285,5
66152,663,45440,4
269818,6633,58689,5
234158,5080,33811,2
197097,3573,89881,5
1226,7,1193,4
207981,3924,26883,5
251876,5957,100894,4
244414,5612,42801,5
226439,4746,75548,5
152408,2448,17219,4
241773,5492,66578,2
182013,3022,11947,5
167112,2781,35063,1
170097,2830,28743,5
81597,912,22227,5
152955,2455,599,4
136022,2030,6621,5
93229,1095,48194,3
196930,3569,80693,5
268219,6551,42909,5
190214,3287,66574,4
137391,2052,23304,5
25695,241,10218,5
121341,1660,1113,5
110334,1401,65281,3
22546,222,18174,3
99075,1171,50229,4
169075,2812,26279,3
34555,279,27100,3
31081,259,24744,2
128884,1825,59260,3
153042,2455,79483,5
73658,760,49158,3
69885,726,26592,5
22094,216,17832,5
60850,574,42813,5
76698,824,8467,4
205545,3873,58823,5
228718,4817,6326,5
82924,930,53552,5
106231,1314,2057,4
69171,720,47132,4
136630,2040,70114,3
130035,1873,60374,4
17545,165,11906,3
66840,681,45803,5
245922,5662,26452,2
50363,415,2096,2
101548,1231,61997,5
71793,749,1310,5
277809,7073,26170,5
22813,226,18365,4
44553,356,33698,3
156875,2548,1896,5
70072,726,41266,3
97009,1125,60086,4
217968,4361,1874,4
221927,4532,74584,5
78239,857,51386,4
64743,635,26496,2
23049,228,18512,5
120883,1643,8224,4
250291,5859,15142,5
111501,1426,9429,5
223436,4624,17357,5
209388,3949,15443,2
225629,4723,96241,5
134156,1997,490,5
145254,2287,4848,5
99191,1173,1069,5
6537,46,5910,5
48397,394,36134,5
226733,4758,66733,5
66654,679,45691,5
127651,1795,5136,4
143624,2246,76490,4
122848,1693,2791,4
69481,720,47332,4
127840,1799,71326,5
87594,1012,49038,4
239832,5373,2111,5
212531,4060,6368,4
47664,390,501,5
225399,4717,73837,1
14361,124,12117,4
128028,1806,71422,2
63632,617,25787,4
109016,1377,64841,3
142056,2220,75922,2
258961,6189,58774,3
92918,1095,4332,5
127539,1794,4189,5
55792,488,40030,5
18150,173,3599,5
54578,479,5835,4
93141,1095,45813,4
101084,1223,61772,4
152086,2442,79187,2
81824,915,29755,5
191045,3325,2790,4
240092,5388,57328,5
217484,4345,19905,3
195188,3486,89408,5
81811,915,7553,4
132898,1961,55553,4
57232,517,40803,5
152396,2448,26222,5
253174,5996,88987,2
111743,1433,65856,3
190704,3309,88508,4
219672,4429,75274,5
158359,2575,54071,5
271425,6735,103385,5
131264,1921,72646,5
86257,989,3349,3
184098,3064,66597,4
93747,1095,36905,4
155103,2506,80212,5
182684,3032,2040,4
14893,128,12551,5
120657,1640,57795,5
37032,305,26878,3
170454,2838,26369,5
278228,7093,75370,5
93069,1095,2140,3
277524,7054,104318,5
280981,7210,104710,3
52895,442,12506,5
177264,2928,85296,2
104145,1276,63134,3
9301,64,4360,4
209224,3946,73108,1
274271,6867,95602,4
132131,1954,2781,5
17300,155,14403,4
88122,1015,2766,5
213439,4123,93480,2
200361,3756,14076,4
101467,1229,61944,5
184139,3065,47938,5
169871,2827,16974,2
73727,763,49184,5
1455,8,1416,3
56064,495,40214,5
151794,2439,79079,5
83549,940,53798,5
142246,2220,76048,2
181883,3014,67675,4
117595,1546,8884,5
242412,5511,2066,5
55276,480,10686,4
99968,1192,11158,4
38967,329,29753,2
133293,1980,2098,3
40616,331,1969,5
160525,2658,11018,3
169350,2820,26301,1
252155,5963,83312,2
222438,4567,7980,5
187267,3163,65184,4
63846,623,28390,2
57365,522,40888,3
60761,574,10842,4
144909,2279,67167,3
49669,413,36842,5
107847,1350,64420,5
33603,272,26433,4
276113,6983,27218,3
211262,4027,3573,5
146549,2329,21126,5
87055,1005,55510,5
9841,67,8555,4
281545,7236,67430,5
224004,4658,55374,2
128418,1813,71613,5
141922,2214,61510,4
86678,1001,55287,5
154155,2486,15911,5
221047,4484,95199,4
207266,3903,73825,2
278504,7106,81084,4
100631,1206,61567,4
145931,2309,52317,5
204396,3856,26446,3
115093,1492,1113,1
215054,4193,3313,3
175464,2907,84923,3
96190,1120,10465,4
248553,5777,70233,4
212291,4045,45446,4
82855,930,53519,5
170394,2836,56886,4
112386,1444,36593,5
54057,468,2759,5
17737,166,10993,5
145603,2298,41029,5
233676,5053,97784,5
37597,309,28847,5
26392,244,21066,1
187176,3159,2634,5
207843,3921,14572,4
227289,4779,96534,4
257111,6111,31688,5
101730,1232,62096,4
229272,4837,84620,3
58442,534,7036,5
145113,2285,2754,5
255932,6075,40510,4
162927,2705,82280,3
152854,2452,79412,5
167655,2787,11713,5
244211,5595,46042,3
237822,5276,84903,3
151050,2423,10290,4
92142,1084,13151,4
90456,1050,57257,4
105743,1303,63684,5
194517,3459,89272,4
66751,681,5238,4
11440,89,9793,5
29982,258,23808,4
166774,2775,82961,5
218231,4370,94606,5
162229,2688,29024,2
147539,2350,77689,4
212643,4067,4063,5
264525,6423,16217,4
153449,2466,79624,5
160390,2652,67497,5
159594,2624,65982,4
155674,2525,80430,4
88824,1027,56357,5
125840,1743,70705,2
200695,3768,49029,4
282436,7287,104893,5
60974,574,42878,5
188020,3191,87785,5
223231,4612,25142,5
102806,1255,62457,3
34232,276,26885,5
170779,2842,12093,5
163049,2705,42106,5
198829,3684,55553,4
254088,6019,7342,4
122021,1665,69561,5
167988,2790,78800,5
154810,2492,80101,4
206006,3874,14318,2
156801,2547,5301,5
81099,910,7249,5
205086,3864,60912,3
258269,6160,1113,5
264748,6426,58902,2
9807,67,8532,4
57415,523,40922,4
73559,757,49119,4
129208,1832,15289,5
247862,5749,100070,5
148868,2380,60386,3
170840,2844,83872,4
108082,1353,31433,5
172600,2871,58396,5
26837,246,21440,5
176846,2923,82404,4
142067,2220,75931,3
235464,5137,98126,4
129035,1829,71903,1
8608,64,454,4
260823,6293,42832,4
224683,4695,2040,5
243185,5557,75616,5
136726,2040,74262,5
127714,1795,57441,4
126873,1773,70991,4
125922,1744,48365,5
45724,372,34501,3
239892,5376,2766,5
237592,5258,38996,5
241051,5442,50024,5
59164,545,4540,4
75106,786,49898,4
29107,256,16543,5
172538,2869,84289,5
164923,2743,13868,5
13066,107,11056,4
15888,135,1143,4
251671,5954,26265,1
24492,234,19685,2
101295,1227,61870,4
260887,6297,6822,5
182618,3032,17431,5
279434,7130,12020,3
208815,3944,20354,5
211092,4022,3790,5
177745,2934,85388,5
200293,3755,90820,4
245725,5659,83924,4
6189,43,5601,4
257916,6153,91348,5
23748,231,19062,5
197779,3616,22031,5
100116,1196,34061,4
43597,350,32982,4
109852,1392,45085,4
190737,3310,4538,4
159133,2606,81308,4
276875,7021,104178,4
242941,5547,16980,5
160596,2658,7166,4
217292,4336,54349,5
80899,905,39061,3
272274,6790,91015,1
17039,150,14209,3
177789,2936,84283,5
212091,4041,10041,3
211708,4035,91982,4
50481,417,37176,5
119611,1604,8870,4
111495,1426,28321,4
65411,646,7695,4
131645,1937,72757,5
199647,3725,1340,5
176220,2918,70325,5
47804,391,3923,3
226548,4753,14438,5
82430,925,49573,3
77556,847,51059,4
122544,1683,69715,5
86696,1001,55296,5
124802,1728,43997,4
113204,1453,1340,5
136279,2033,74168,5
181934,3017,86332,3
117298,1541,3555,5
241635,5483,82219,5
165629,2758,73857,4
22353,220,18016,5
214845,4180,52061,5
5663,33,5159,5
20628,195,16806,5
155690,2525,80443,5
270451,6673,72477,4
38913,328,1643,5
2443,12,2350,3
152118,2442,79193,5
279804,7153,79443,5
111021,1408,65583,4
215602,4227,93917,4
62226,581,5326,4
177032,2924,23303,5
146471,2326,2584,5
49076,407,36535,4
106666,1326,64017,5
94724,1103,26222,4
37524,308,28801,4
128652,1817,71754,5
205925,3873,58787,4
65914,653,12475,5
140279,2153,1949,3
11485,89,9828,4
74535,775,41897,5
243420,5563,53735,3
148027,2362,66114,3
154638,2487,80024,4
270529,6677,14942,5
207991,3924,9316,5
230996,4905,97256,5
201020,3773,90955,5
165306,2748,23234,4
21245,202,17230,5
126605,1763,70916,4
7898,60,7037,5
260499,6271,62224,5
98825,1168,12506,5
166420,2773,39422,4
230043,4851,60281,5
11428,89,9784,4
221224,4491,26056,5
71758,747,27899,5
138261,2079,30692,2
157999,2574,81022,4
128776,1821,71796,5
145354,2292,76975,3
832,3,827,4
57713,525,41064,5
108227,1355,13924,5
231948,4954,2451,5
103283,1262,24777,5
95996,1120,59519,4
29154,256,1791,5
232233,4972,63918,2
14551,126,12281,4
164619,2734,26148,5
268498,6562,103047,5
241831,5496,99290,4
84039,951,3587,5
49406,410,1971,5
168472,2796,2739,5
206638,3892,91904,5
139138,2103,59599,5
70926,739,24840,4
179198,2942,76843,2
279274,7121,4801,5
247593,5735,11389,2
224041,4661,6914,4
250853,5895,70650,3
277170,7037,7527,4
84655,960,12013,4
161346,2675,490,5
99655,1187,37185,5
187366,3167,48133,5
94329,1103,53260,4
182680,3032,16773,4
283518,7343,1826,4
204981,3863,27155,4
235831,5156,30736,4
83978,949,3998,5
184218,3069,86922,4
239201,5349,26312,5
123090,1696,14681,4
247924,5751,91274,3
145586,2297,77035,4
54151,470,26608,5
279634,7142,63668,5
76576,824,50648,5
179659,2943,21284,3
103457,1263,35338,5
35655,290,27659,4
55995,492,2101,5
225651,4724,9226,2
92904,1095,7618,3
245619,5658,14738,5
40162,330,9231,5
188721,3220,26029,3
24804,236,19966,5
263569,6404,102524,4
55790,488,40028,5
1893,9,1837,5
144902,2279,71267,4
37339,307,14943,5
41702,338,5416,5
177740,2934,19561,1
39690,330,30380,5
25070,237,20173,5
194035,3427,6880,5
163164,2708,2621,5
186187,3137,76900,3
83111,931,53619,5
275496,6941,43794,2
176142,2918,73778,4
207386,3908,65831,3
155064,2504,42856,5
32201,271,15732,4
147341,2343,13611,5
91648,1078,9020,5
140557,2161,56872,3
140176,2150,75284,4
87544,1012,5592,4
80300,902,2506,5
48590,397,36255,3
20878,197,16983,1
270191,6654,2802,5
178931,2940,27455,4
233692,5054,97793,5
283114,7323,83436,5
7694,56,6900,3
16451,140,13761,4
252946,5983,39944,3
151537,2431,27259,5
146701,2329,45263,4
89893,1041,24645,5
138682,2093,74851,4
159399,2614,25653,5
116611,1521,67355,4
260505,6272,1069,3
176039,2917,55994,4
155032,2503,5251,5
181359,3002,42738,3
15671,135,13141,4
74472,773,49500,5
193641,3410,89052,4
137961,2072,74589,5
100895,1218,55845,5
147378,2344,73518,3
2599,13,2492,5
163669,2714,4368,5
34618,280,27150,3
242485,5515,17397,5
93827,1098,7929,4
57087,513,40720,5
224821,4700,2056,5
205269,3867,83783,2
113249,1455,46008,4
232383,4981,6880,4
280736,7199,26268,4
9826,67,1788,4
11327,89,9708,4
95455,1114,30818,5
199562,3720,77465,3
30469,258,24273,4
197457,3597,89978,4
14368,125,12121,5
248501,5773,19561,1
159561,2621,2182,5
99717,1190,5426,4
149768,2403,3884,5
169448,2821,76423,4
140846,2171,63612,4
76820,827,25746,3
245142,5648,83929,3
3634,15,3442,5
250136,5847,49286,4
142078,2220,75486,2
1660,9,1617,5
106295,1315,58662,3
239186,5348,98827,3
265387,6451,80012,5
65391,646,4059,5
200627,3764,66141,2
258836,6187,77590,4
82369,923,53231,4
113715,1459,66556,4
28415,255,22625,4
89326,1029,27550,5
197091,3572,914,5
198418,3655,90280,5
74428,771,5220,5
211779,4035,93046,3
107579,1342,48850,4
114481,1477,5220,5
42997,346,32595,5
162256,2688,8252,5
191187,3333,77984,3
106948,1333,510,5
138815,2096,2739,3
214699,4176,1340,5
15093,130,2450,5
27134,248,21684,5
211501,4030,78436,5
185702,3120,87302,4
206900,3896,51956,5
273406,6840,28715,3
114018,1465,66633,5
206732,3893,91943,5
169659,2825,23273,3
37023,305,158,2
145333,2291,3156,4
27310,249,6878,2
134772,2003,26104,5
100045,1194,61378,4
165710,2759,6909,4
73516,756,49094,5
22327,219,16117,5
13584,113,11494,5
31972,268,25323,5
14428,125,12179,5
27042,247,21607,4
130225,1883,25997,5
203713,3846,53165,5
68170,708,17841,5
96088,1120,15894,3
32220,271,25470,4
153175,2458,79522,5
262494,6366,95609,5
218467,4380,94673,5
222031,4542,434,5
18418,176,15195,5
160915,2659,81836,2
24426,234,19620,5
276880,7021,45802,4
189980,3272,1445,3
115004,1488,2790,5
66906,681,43378,5
180674,2980,58494,5
71103,740,8961,5
96779,1120,59942,5
64122,626,44489,5
18149,173,14983,5
200525,3762,90852,5
277493,7051,104315,4
158429,2575,4352,5
32963,272,25998,3
149568,2397,66345,5
15754,135,13201,5
278754,7112,11780,5
262932,6382,12814,4
100975,1221,7284,4
65123,644,3746,5
196530,3554,4210,5
81102,910,3411,5
65021,642,44930,4
18964,186,15594,3
186489,3144,52868,5
233012,5014,7888,4
169810,2827,1055,5
142173,2220,75995,3
40879,334,21601,5
77841,852,13892,4
22286,219,17966,3
158771,2586,75322,5
199891,3736,90740,5
77267,838,50949,3
142096,2220,75944,3
82320,922,37995,4
65332,646,45115,4
227622,4796,70286,3
123956,1719,70049,5
129654,1848,1841,2
190855,3318,1340,5
27328,249,21823,2
265679,6460,17500,5
153301,2461,56644,3
149904,2405,4368,5
27535,249,21991,4
128859,1824,22161,5
169700,2826,40092,1
141275,2183,25096,5
136553,2039,64578,3
105248,1289,53648,1
179296,2943,26198,3
186130,3135,42607,5
115066,1491,1113,3
112497,1444,30141,5
232012,4958,576,1
35963,293,27868,3
3714,15,3508,4
175532,2908,31720,4
66550,678,25493,3
122558,1684,6400,5
205125,3866,78377,4
212614,4064,93213,4
273179,6829,35150,4
70171,726,32410,2
129819,1858,72150,5
65579,649,11592,5
29308,256,23237,4
163406,2712,46448,3
